cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu_0,mu_0_std,grazing,grazing_std,mu_N,mu_N_std,iode_quality_flag
en657,17,21-22-23,NA,L6,2020-10-17 00:11:33+00:00,2020-10-17 00:55:00+00:00,2020-10-18 01:00:00+00:00,40.3603,-70.8888,3.61,20.93,2,18.66,1.68,65%,>10&<200,0.64,0.59,0.04,0.93,0.07,1,0.18,1.43,0.13,NaN,NaN,n/n,n/n,1
en657,15,21-22-23,NA,L8,2020-10-16 12:04:15+00:00,2020-10-16 12:50:00+00:00,2020-10-17 13:15:00+00:00,40.129,-70.7675,2.97,20.5,1,20.61,2.33,15%,>0&<10,0.61,0.48,0.13,0.79,0.21,1.02,0.19,0.75,0.1,0.41,0.05,0.86,0.04,1
en657,15,21-22-23,NA,L8,2020-10-16 12:04:15+00:00,2020-10-16 12:50:00+00:00,2020-10-17 13:15:00+00:00,40.129,-70.7675,2.97,20.5,1,20.61,2.33,15%,>0&<200,0.61,0.48,0.13,0.79,0.21,1.02,0.19,0.84,0.09,0.42,0.05,n/n,n/n,1
en657,15,21-22-23,NA,L8,2020-10-16 12:04:15+00:00,2020-10-16 12:50:00+00:00,2020-10-17 13:15:00+00:00,40.129,-70.7675,2.97,20.5,1,20.61,2.33,15%,>10&<200,0.61,0.48,0.13,0.79,0.21,1.02,0.19,0.55,0.1,0.34,0.09,0.83,0.08,1
en657,15,21-22-23,NA,L8,2020-10-16 12:04:15+00:00,2020-10-16 12:50:00+00:00,2020-10-17 13:15:00+00:00,40.129,-70.7675,2.97,20.5,1,20.61,2.33,65%,>0&<10,0.61,0.48,0.13,0.79,0.21,1.02,0.19,0.63,0.21,0.32,0.11,n/n,n/n,1
en657,15,21-22-23,NA,L8,2020-10-16 12:04:15+00:00,2020-10-16 12:50:00+00:00,2020-10-17 13:15:00+00:00,40.129,-70.7675,2.97,20.5,1,20.61,2.33,65%,>0&<200,0.61,0.48,0.13,0.79,0.21,1.02,0.19,0.71,0.07,0.3,0.06,n/n,n/n,1
en657,15,21-22-23,NA,L8,2020-10-16 12:04:15+00:00,2020-10-16 12:50:00+00:00,2020-10-17 13:15:00+00:00,40.129,-70.7675,2.97,20.5,1,20.61,2.33,65%,>10&<200,0.61,0.48,0.13,0.79,0.21,1.02,0.19,1.17,0.14,0.87,0.09,n/n,n/n,1
en657,9,21-22-23,NA,L10,2020-10-15 08:25:47+00:00,2020-10-15 09:20:00+00:00,2020-10-16 10:40:00+00:00,39.9322,-70.8779,2.45,21.99,1,21.61,1.78,15%,>0&<10,0.66,0.53,0.13,0.81,0.19,1.06,0.24,-0.02,0.56,0,0,n/n,n/n,1
en657,9,21-22-23,NA,L10,2020-10-15 08:25:47+00:00,2020-10-15 09:20:00+00:00,2020-10-16 10:40:00+00:00,39.9322,-70.8779,2.45,21.99,1,21.61,1.78,15%,>0&<200,0.66,0.53,0.13,0.81,0.19,1.06,0.24,0.17,0.5,0,0,n/n,n/n,1
en657,9,21-22-23,NA,L10,2020-10-15 08:25:47+00:00,2020-10-15 09:20:00+00:00,2020-10-16 10:40:00+00:00,39.9322,-70.8779,2.45,21.99,1,21.61,1.78,15%,>10&<200,0.66,0.53,0.13,0.81,0.19,1.06,0.24,0.55,0.13,0,0,0.8,0.14,1
en657,9,21-22-23,NA,L10,2020-10-15 08:25:47+00:00,2020-10-15 09:20:00+00:00,2020-10-16 10:40:00+00:00,39.9322,-70.8779,2.45,21.99,1,21.61,1.78,65%,>0&<10,0.66,0.53,0.13,0.81,0.19,1.06,0.24,0.24,0.34,NaN,NaN,n/n,n/n,1
en657,9,21-22-23,NA,L10,2020-10-15 08:25:47+00:00,2020-10-15 09:20:00+00:00,2020-10-16 10:40:00+00:00,39.9322,-70.8779,2.45,21.99,1,21.61,1.78,65%,>0&<200,0.66,0.53,0.13,0.81,0.19,1.06,0.24,0.44,0.1,NaN,NaN,n/n,n/n,1
en657,9,21-22-23,NA,L10,2020-10-15 08:25:47+00:00,2020-10-15 09:20:00+00:00,2020-10-16 10:40:00+00:00,39.9322,-70.8779,2.45,21.99,1,21.61,1.78,65%,>10&<200,0.66,0.53,0.13,0.81,0.19,1.06,0.24,0.44,0.31,0,0,0.92,0.33,1
en657,12,10-11,NA,L11,2020-10-15 16:49:49+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7693,-70.8773,35.5,20.25,1,21.79,1.62,5%,>0&<10,0.41,0.3,0.11,0.74,0.26,1.05,0.34,0.89,0.16,NaN,NaN,n/n,n/n,1
en657,12,10-11,NA,L11,2020-10-15 16:49:49+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7693,-70.8773,35.5,20.25,1,21.79,1.62,5%,>0&<200,0.41,0.3,0.11,0.74,0.26,1.05,0.34,0.87,0.07,NaN,NaN,0.94,0.06,1
en657,12,10-11,NA,L11,2020-10-15 16:49:49+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7693,-70.8773,35.5,20.25,1,21.79,1.62,5%,>10&<200,0.41,0.3,0.11,0.74,0.26,1.05,0.34,0.44,0.18,NaN,NaN,0.71,0.18,1
en657,12,15-16,NA,L11,2020-10-15 16:52:43+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7689,-70.8767,25.78,20.18,1,21.79,1.62,15%,>0&<10,0.75,0.65,0.1,0.86,0.14,1.05,0.17,0.18,0.37,0.41,0.04,0.79,0.05,1
en657,12,15-16,NA,L11,2020-10-15 16:52:43+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7689,-70.8767,25.78,20.18,1,21.79,1.62,15%,>0&<200,0.75,0.65,0.1,0.86,0.14,1.05,0.17,0.26,0.17,0.2,0.08,0.66,0.02,1
en657,12,15-16,NA,L11,2020-10-15 16:52:43+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7689,-70.8767,25.78,20.18,1,21.79,1.62,15%,>10&<200,0.75,0.65,0.1,0.86,0.14,1.05,0.17,0.32,0.21,NaN,NaN,1.03,0.24,1
en657,12,21-22-23,NA,L11,2020-10-15 16:56:16+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7685,-70.8761,3.21,21.15,1,21.79,1.62,15%,>0&<10,0.37,0.31,0.06,0.84,0.16,1.05,0.27,1.16,0.36,0.65,0.25,n/n,n/n,1
en657,12,21-22-23,NA,L11,2020-10-15 16:56:16+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7685,-70.8761,3.21,21.15,1,21.79,1.62,15%,>0&<200,0.37,0.31,0.06,0.84,0.16,1.05,0.27,1.08,0.35,0.54,0.23,n/n,n/n,1
en657,12,21-22-23,NA,L11,2020-10-15 16:56:16+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7685,-70.8761,3.21,21.15,1,21.79,1.62,15%,>10&<200,0.37,0.31,0.06,0.84,0.16,1.05,0.27,0.57,0.04,NaN,NaN,1.38,0.09,1
en657,12,21-22-23,NA,L11,2020-10-15 16:56:16+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7685,-70.8761,3.21,21.15,1,21.79,1.62,65%,>0&<10,0.37,0.31,0.06,0.84,0.16,1.05,0.27,0.56,0.18,0.23,0.1,0.85,0.1,1
en657,12,21-22-23,NA,L11,2020-10-15 16:56:16+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7685,-70.8761,3.21,21.15,1,21.79,1.62,65%,>0&<200,0.37,0.31,0.06,0.84,0.16,1.05,0.27,0.56,0.12,0,0,0.85,0.22,1
en657,12,21-22-23,NA,L11,2020-10-15 16:56:16+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7685,-70.8761,3.21,21.15,1,21.79,1.62,65%,>10&<200,0.37,0.31,0.06,0.84,0.16,1.05,0.27,1.04,0.12,0,0,n/n,n/n,1
en661,1,17-18-19-20,NA,L1,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.1959,-70.8772,1.1,3.85,1,5.91,1.41,15%,>0&<10,5.19,0.52,4.66,0.1,0.9,1,0.21,1.93,1.69,3.37,1.09,n/n,n/n,1
en661,1,17-18-19-20,NA,L1,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.1959,-70.8772,1.1,3.85,1,5.91,1.41,15%,>0&<200,5.19,0.52,4.66,0.1,0.9,1,0.21,0.29,0.15,0.32,0.1,n/n,n/n,1
en661,1,17-18-19-20,NA,L1,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.1959,-70.8772,1.1,3.85,1,5.91,1.41,15%,>10&<200,5.19,0.52,4.66,0.1,0.9,1,0.21,0.08,0.07,0,0,n/n,n/n,1
en661,1,17-18-19-20,NA,L1,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.1959,-70.8772,1.1,3.85,1,5.91,1.41,65%,>0&<10,5.19,0.52,4.66,0.1,0.9,1,0.21,NaN,NaN,NaN,NaN,n/n,n/n,1
en661,1,17-18-19-20,NA,L1,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.1959,-70.8772,1.1,3.85,1,5.91,1.41,65%,>0&<200,5.19,0.52,4.66,0.1,0.9,1,0.21,0.03,0.15,0,0,n/n,n/n,1
en661,1,17-18-19-20,NA,L1,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.1959,-70.8772,1.1,3.85,1,5.91,1.41,65%,>10&<200,5.19,0.52,4.66,0.1,0.9,1,0.21,0.07,0.14,0,0,n/n,n/n,1
en661,13,16-17,NA,L1.2,2021-02-06 21:29:57+00:00,2021-02-06 22:00:00+00:00,2021-02-07 23:12:00+00:00,41.1618,-70.8913,1.58,3.61,1,4.24,0.48,65%,>0&<10,5.65,0.78,4.87,0.14,0.86,1.05,0.24,-0.02,0.81,NaN,NaN,n/n,n/n,1
en661,13,16-17,NA,L1.2,2021-02-06 21:29:57+00:00,2021-02-06 22:00:00+00:00,2021-02-07 23:12:00+00:00,41.1618,-70.8913,1.58,3.61,1,4.24,0.48,65%,>0&<200,5.65,0.78,4.87,0.14,0.86,1.05,0.24,0.07,0.11,0,0,n/n,n/n,1
en661,13,16-17,NA,L1.2,2021-02-06 21:29:57+00:00,2021-02-06 22:00:00+00:00,2021-02-07 23:12:00+00:00,41.1618,-70.8913,1.58,3.61,1,4.24,0.48,65%,>10&<200,5.65,0.78,4.87,0.14,0.86,1.05,0.24,0.23,0.08,0.23,0.03,0.32,0.03,1
en661,2,17-18-19-20,NA,L2,2021-02-04 02:03:58+00:00,2021-02-04 00:59:00+00:00,2021-02-05 02:20:00+00:00,41.0309,-70.8889,3.47,3.92,1,6.89,1.66,15%,>0&<10,1.27,0.18,1.09,0.14,0.86,1.06,0.23,0.67,0.45,0,0,n/n,n/n,1
en661,2,17-18-19-20,NA,L2,2021-02-04 02:03:58+00:00,2021-02-04 00:59:00+00:00,2021-02-05 02:20:00+00:00,41.0309,-70.8889,3.47,3.92,1,6.89,1.66,15%,>0&<200,1.27,0.18,1.09,0.14,0.86,1.06,0.23,0.49,0.12,0.28,0.12,n/n,n/n,1
en661,2,17-18-19-20,NA,L2,2021-02-04 02:03:58+00:00,2021-02-04 00:59:00+00:00,2021-02-05 02:20:00+00:00,41.0309,-70.8889,3.47,3.92,1,6.89,1.66,15%,>10&<200,1.27,0.18,1.09,0.14,0.86,1.06,0.23,0.15,0.1,0,0,n/n,n/n,1
en661,2,17-18-19-20,NA,L2,2021-02-04 02:03:58+00:00,2021-02-04 00:59:00+00:00,2021-02-05 02:20:00+00:00,41.0309,-70.8889,3.47,3.92,1,6.89,1.66,65%,>0&<10,1.27,0.18,1.09,0.14,0.86,1.06,0.23,0.25,0.72,0,0,n/n,n/n,1
en661,2,17-18-19-20,NA,L2,2021-02-04 02:03:58+00:00,2021-02-04 00:59:00+00:00,2021-02-05 02:20:00+00:00,41.0309,-70.8889,3.47,3.92,1,6.89,1.66,65%,>0&<200,1.27,0.18,1.09,0.14,0.86,1.06,0.23,0.09,0.11,0,0,n/n,n/n,1
en661,2,17-18-19-20,NA,L2,2021-02-04 02:03:58+00:00,2021-02-04 00:59:00+00:00,2021-02-05 02:20:00+00:00,41.0309,-70.8889,3.47,3.92,1,6.89,1.66,65%,>10&<200,1.27,0.18,1.09,0.14,0.86,1.06,0.23,0.08,0.1,0,0,n/n,n/n,1
en661,12,16-17-18-19,NA,L3,2021-02-06 16:23:46+00:00,2021-02-06 17:42:00+00:00,2021-02-07 17:15:00+00:00,40.8598,-70.8833,1.78,5.11,2,4.79,1.27,15%,>0&<10,2.01,0.01,2,0,1,0.98,0.22,0.91,1.57,0,0,n/n,n/n,3
en661,12,16-17-18-19,NA,L3,2021-02-06 16:23:46+00:00,2021-02-06 17:42:00+00:00,2021-02-07 17:15:00+00:00,40.8598,-70.8833,1.78,5.11,2,4.79,1.27,15%,>0&<200,2.01,0.01,2,0,1,0.98,0.22,0.24,0.06,0.19,0.04,n/n,n/n,1
en661,12,16-17-18-19,NA,L3,2021-02-06 16:23:46+00:00,2021-02-06 17:42:00+00:00,2021-02-07 17:15:00+00:00,40.8598,-70.8833,1.78,5.11,2,4.79,1.27,15%,>10&<200,2.01,0.01,2,0,1,0.98,0.22,0.52,0.06,0.46,0.07,n/n,n/n,1
en661,12,16-17-18-19,NA,L3,2021-02-06 16:23:46+00:00,2021-02-06 17:42:00+00:00,2021-02-07 17:15:00+00:00,40.8598,-70.8833,1.78,5.11,2,4.79,1.27,65%,>0&<10,2.01,0.01,2,0,1,0.98,0.22,2.6,0.74,NaN,NaN,n/n,n/n,3
en661,12,16-17-18-19,NA,L3,2021-02-06 16:23:46+00:00,2021-02-06 17:42:00+00:00,2021-02-07 17:15:00+00:00,40.8598,-70.8833,1.78,5.11,2,4.79,1.27,65%,>0&<200,2.01,0.01,2,0,1,0.98,0.22,0.18,0.05,0.11,0.04,n/n,n/n,1
en661,12,16-17-18-19,NA,L3,2021-02-06 16:23:46+00:00,2021-02-06 17:42:00+00:00,2021-02-07 17:15:00+00:00,40.8598,-70.8833,1.78,5.11,2,4.79,1.27,65%,>10&<200,2.01,0.01,2,0,1,0.98,0.22,0.45,0.07,0.47,0.06,n/n,n/n,1
en661,5,19-20-21-22,NA,L4,2021-02-04 13:11:57+00:00,2021-02-04 14:00:00+00:00,2021-02-05 16:05:00+00:00,40.6963,-70.8879,2.7,6.29,1,10.46,2.24,15%,>0&<10,4.07,0.45,3.62,0.11,0.89,1.09,0.22,-0.35,0.9,0,0,n/n,n/n,3
en661,5,19-20-21-22,NA,L4,2021-02-04 13:11:57+00:00,2021-02-04 14:00:00+00:00,2021-02-05 16:05:00+00:00,40.6963,-70.8879,2.7,6.29,1,10.46,2.24,15%,>0&<200,4.07,0.45,3.62,0.11,0.89,1.09,0.22,0.26,0.1,0,0,n/n,n/n,3
en661,5,19-20-21-22,NA,L4,2021-02-04 13:11:57+00:00,2021-02-04 14:00:00+00:00,2021-02-05 16:05:00+00:00,40.6963,-70.8879,2.7,6.29,1,10.46,2.24,15%,>10&<200,4.07,0.45,3.62,0.11,0.89,1.09,0.22,0.96,0.09,0.63,0.07,n/n,n/n,3
en661,5,19-20-21-22,NA,L4,2021-02-04 13:11:57+00:00,2021-02-04 14:00:00+00:00,2021-02-05 16:05:00+00:00,40.6963,-70.8879,2.7,6.29,1,10.46,2.24,65%,>0&<10,4.07,0.45,3.62,0.11,0.89,1.09,0.22,0.8,0.58,NaN,NaN,n/n,n/n,3
en661,5,19-20-21-22,NA,L4,2021-02-04 13:11:57+00:00,2021-02-04 14:00:00+00:00,2021-02-05 16:05:00+00:00,40.6963,-70.8879,2.7,6.29,1,10.46,2.24,65%,>0&<200,4.07,0.45,3.62,0.11,0.89,1.09,0.22,0.26,0.04,NaN,NaN,n/n,n/n,3
en661,5,19-20-21-22,NA,L4,2021-02-04 13:11:57+00:00,2021-02-04 14:00:00+00:00,2021-02-05 16:05:00+00:00,40.6963,-70.8879,2.7,6.29,1,10.46,2.24,65%,>10&<200,4.07,0.45,3.62,0.11,0.89,1.09,0.22,1.08,0.13,0.88,0.08,n/n,n/n,3
en661,10,10-11,NA,L11,2021-02-05 13:40:59+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7707,-70.8737,40.28,14.05,3,7.99,2.53,5%,>0&<10,0.51,0.3,0.21,0.6,0.4,0.98,0.22,0.85,0.28,0.68,0.2,n/n,n/n,3
en661,10,10-11,NA,L11,2021-02-05 13:40:59+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7707,-70.8737,40.28,14.05,3,7.99,2.53,5%,>0&<200,0.51,0.3,0.21,0.6,0.4,0.98,0.22,0.61,0.16,0.44,0.1,n/n,n/n,3
en661,10,10-11,NA,L11,2021-02-05 13:40:59+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7707,-70.8737,40.28,14.05,3,7.99,2.53,5%,>10&<200,0.51,0.3,0.21,0.6,0.4,0.98,0.22,0.01,0.14,0,0,0.33,0.17,3
en661,10,15-16,NA,L11,2021-02-05 13:43:02+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8732,20.27,13.35,3,7.99,2.53,15%,>0&<10,0.83,0.4,0.44,0.48,0.52,0.98,0.2,0.12,0.35,0,0,n/n,n/n,3
en661,10,15-16,NA,L11,2021-02-05 13:43:02+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8732,20.27,13.35,3,7.99,2.53,15%,>0&<200,0.83,0.4,0.44,0.48,0.52,0.98,0.2,0.36,0.12,0.25,0.08,n/n,n/n,3
en661,10,15-16,NA,L11,2021-02-05 13:43:02+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8732,20.27,13.35,3,7.99,2.53,15%,>10&<200,0.83,0.4,0.44,0.48,0.52,0.98,0.2,0.01,0.21,0,0,n/n,n/n,3
en661,10,21-22-23,NA,L11,2021-02-05 13:45:20+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8727,2.52,13.3,3,7.99,2.53,15%,>0&<10,0.71,0.28,0.43,0.4,0.6,0.98,0.23,0.95,0.3,0.65,0.21,n/n,n/n,3
en661,10,21-22-23,NA,L11,2021-02-05 13:45:20+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8727,2.52,13.3,3,7.99,2.53,15%,>0&<200,0.71,0.28,0.43,0.4,0.6,0.98,0.23,0.28,0.09,0,0,n/n,n/n,3
en661,10,21-22-23,NA,L11,2021-02-05 13:45:20+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8727,2.52,13.3,3,7.99,2.53,15%,>10&<200,0.71,0.28,0.43,0.4,0.6,0.98,0.23,0,0.13,NaN,NaN,n/n,n/n,3
en661,10,21-22-23,NA,L11,2021-02-05 13:45:20+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8727,2.52,13.3,3,7.99,2.53,65%,>0&<10,0.71,0.28,0.43,0.4,0.6,0.98,0.23,1,0.91,1.31,0.49,n/n,n/n,3
en661,10,21-22-23,NA,L11,2021-02-05 13:45:20+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8727,2.52,13.3,3,7.99,2.53,65%,>0&<200,0.71,0.28,0.43,0.4,0.6,0.98,0.23,0.22,0.25,0,0,n/n,n/n,3
en661,10,21-22-23,NA,L11,2021-02-05 13:45:20+00:00,2021-02-06 02:30:00+00:00,2021-02-07 02:03:00+00:00,39.7705,-70.8727,2.52,13.3,3,7.99,2.53,65%,>10&<200,0.71,0.28,0.43,0.4,0.6,0.98,0.23,0.17,0.06,NaN,NaN,n/n,n/n,3
en668,1,19-20-21,NA,L1,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,41.1946,-70.883,4.12,19.36,3,23.11,1.4,65%,>0&<10,1.14,0.98,0.16,0.86,0.14,1,0.17,0.14,0.02,0.26,0.02,1.31,0.02,1
en668,1,19-20-21,NA,L1,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,41.1946,-70.883,4.12,19.36,3,23.11,1.4,65%,>0&<10sf,1.14,0.98,0.16,0.86,0.14,1,0.17,0.75,0.32,0.15,0.05,1.34,0.07,1
en668,1,19-20-21,NA,L1,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,41.1946,-70.883,4.12,19.36,3,23.11,1.4,65%,>0&<200,1.14,0.98,0.16,0.86,0.14,1,0.17,0.3,0.25,0.19,0.03,1.33,0.06,1
en668,1,19-20-21,NA,L1,2021-07-16 18:22:45+00:00,2021-07-16 19:45:00+00:00,2021-07-17 19:45:00+00:00,41.1946,-70.883,4.12,19.36,3,23.11,1.4,65%,>10&<200,1.14,0.98,0.16,0.86,0.14,1,0.17,0.07,0.11,0.18,0.08,1.61,0.12,1
en668,2,20-21-22-23,NA,L2,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,41.0313,-70.8792,2.89,20.54,3,24.02,1.52,65%,>0&<10,0.45,0.41,0.04,0.92,0.08,1.01,0.17,-0.08,0.12,NaN,NaN,0.77,0.04,1
en668,2,20-21-22-23,NA,L2,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,41.0313,-70.8792,2.89,20.54,3,24.02,1.52,65%,>0&<10sf,0.45,0.41,0.04,0.92,0.08,1.01,0.17,0.33,0.06,0.11,0.04,0.92,0.06,1
en668,2,20-21-22-23,NA,L2,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,41.0313,-70.8792,2.89,20.54,3,24.02,1.52,65%,>0&<200,0.45,0.41,0.04,0.92,0.08,1.01,0.17,0.04,0.03,0,0,0.81,0.06,1
en668,2,20-21-22-23,NA,L2,2021-07-17 04:45:25+00:00,2021-07-17 05:45:00+00:00,2021-07-18 05:55:00+00:00,41.0313,-70.8792,2.89,20.54,3,24.02,1.52,65%,>10&<200,0.45,0.41,0.04,0.92,0.08,1.01,0.17,0.46,0.08,0,0,1.15,0.08,1
en668,5,21-22-23-24,NA,L4,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,40.6934,-70.8781,4.47,21.27,3,24.59,1.06,65%,>0&<10,0.41,0.38,0.03,0.93,0.07,1.02,0.16,0.26,0.04,0.29,0.02,0.6,0.04,1
en668,5,21-22-23-24,NA,L4,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,40.6934,-70.8781,4.47,21.27,3,24.59,1.06,65%,>0&<10sf,0.41,0.38,0.03,0.93,0.07,1.02,0.16,-0.06,0.03,0,0,0.43,0.02,1
en668,5,21-22-23-24,NA,L4,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,40.6934,-70.8781,4.47,21.27,3,24.59,1.06,65%,>0&<200,0.41,0.38,0.03,0.93,0.07,1.02,0.16,0.19,0.01,0.26,0.03,0.6,0.02,1
en668,5,21-22-23-24,NA,L4,2021-07-17 13:36:24+00:00,2021-07-17 14:30:00+00:00,2021-07-18 15:00:00+00:00,40.6934,-70.8781,4.47,21.27,3,24.59,1.06,65%,>10&<200,0.41,0.38,0.03,0.93,0.07,1.02,0.16,0.71,0.32,0.73,0.19,n/n,n/n,1
en668,18,21-22-23-24,NA,L6,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3692,-70.894,3.82,21.02,3,23.48,1.06,65%,>0&<10,0.2,0.19,0.02,0.93,0.07,1.01,0.2,NaN,NaN,NaN,NaN,n/n,n/n,1
en668,18,21-22-23-24,NA,L6,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3692,-70.894,3.82,21.02,3,23.48,1.06,65%,>0&<10sf,0.2,0.19,0.02,0.93,0.07,1.01,0.2,0.72,0.07,0,0,1.1,0.03,1
en668,18,21-22-23-24,NA,L6,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3692,-70.894,3.82,21.02,3,23.48,1.06,65%,>0&<200,0.2,0.19,0.02,0.93,0.07,1.01,0.2,1.46,0.06,0.75,0.08,1.89,0.07,1
en668,18,21-22-23-24,NA,L6,2021-07-20 09:49:40+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3692,-70.894,3.82,21.02,3,23.48,1.06,65%,>10&<200,0.2,0.19,0.02,0.93,0.07,1.01,0.2,2.26,0.15,1.4,0.1,2.78,0.09,1
en668,18,9-10-12,NA,L6,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3682,-70.8929,30.93,11.09,1,15.93,2.24,3%,>0&<10,3.34,1.64,1.7,0.49,0.51,1.01,0.24,0.12,0.05,0,0,n/n,n/n,3
en668,18,9-10-12,NA,L6,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3682,-70.8929,30.93,11.09,1,15.93,2.24,3%,>0&<200,3.34,1.64,1.7,0.49,0.51,1.01,0.24,0.14,0.05,0,0,n/n,n/n,3
en668,18,9-10-12,NA,L6,2021-07-20 09:43:35+00:00,2021-07-20 11:15:00+00:00,2021-07-21 11:25:00+00:00,40.3682,-70.8929,30.93,11.09,1,15.93,2.24,3%,>10&<200,3.34,1.64,1.7,0.49,0.51,1.01,0.24,0.16,0.08,0,0,n/n,n/n,3
