cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu_0,mu_0_std,grazing,grazing_std,mu_N,mu_N_std,iode_quality_flag
en668,15,10-11,NA,L8,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.1262,-70.7676,38.38,12.84,1,17.15,1.64,3%,>0&<10,1.04,0.64,0.4,0.61,0.39,1,0.24,-0.02,0.33,0,0,n/n,n/n,3
en668,15,10-11,NA,L8,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.1262,-70.7676,38.38,12.84,1,17.15,1.64,3%,>0&<200,1.04,0.64,0.4,0.61,0.39,1,0.24,0.04,0.16,0,0,n/n,n/n,3
en668,15,10-11,NA,L8,2021-07-19 17:05:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.1262,-70.7676,38.38,12.84,1,17.15,1.64,3%,>10&<200,1.04,0.64,0.4,0.61,0.39,1,0.24,-0.01,0.25,NaN,NaN,0.31,0.16,3
en668,15,21-22-23-24,NA,L8,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.1238,-70.7667,4.31,23.71,3,23.83,0.99,65%,>0&<10,0.12,0.1,0.02,0.8,0.2,1,0.19,0.91,0.32,0,0,1.41,0.12,1
en668,15,21-22-23-24,NA,L8,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.1238,-70.7667,4.31,23.71,3,23.83,0.99,65%,>0&<10sf,0.12,0.1,0.02,0.8,0.2,1,0.19,1.54,0.07,NaN,NaN,1.73,0.11,1
en668,15,21-22-23-24,NA,L8,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.1238,-70.7667,4.31,23.71,3,23.83,0.99,65%,>0&<200,0.12,0.1,0.02,0.8,0.2,1,0.19,0.96,0.37,0,0,1.38,0.1,1
en668,15,21-22-23-24,NA,L8,2021-07-19 17:16:47+00:00,2021-07-19 18:20:00+00:00,2021-07-20 18:25:00+00:00,40.1238,-70.7667,4.31,23.71,3,23.83,0.99,65%,>10&<200,0.12,0.1,0.02,0.8,0.2,1,0.19,1.58,0.18,0.7,0.09,1.85,0.05,1
en668,11,9-10,NA,L11,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7688,-70.8789,35.94,12.35,1,15.46,1.48,3%,>0&<10,1.18,1.07,0.11,0.91,0.09,1.04,0.23,-0.08,0.03,NaN,NaN,0.12,0.05,1
en668,11,9-10,NA,L11,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7688,-70.8789,35.94,12.35,1,15.46,1.48,3%,>0&<200,1.18,1.07,0.11,0.91,0.09,1.04,0.23,0.1,0.05,0,0,0.28,0.09,1
en668,11,9-10,NA,L11,2021-07-18 16:46:10+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7688,-70.8789,35.94,12.35,1,15.46,1.48,3%,>10&<200,1.18,1.07,0.11,0.91,0.09,1.04,0.23,1.02,0.15,NaN,NaN,n/n,n/n,1
en668,11,15-16,NA,L11,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7676,-70.8785,13.07,19.13,1,15.46,1.48,30%,>0&<10,0.25,0.2,0.06,0.78,0.22,1.04,0.18,0.05,0.21,0,0,0.75,0.05,1
en668,11,15-16,NA,L11,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7676,-70.8785,13.07,19.13,1,15.46,1.48,30%,>0&<200,0.25,0.2,0.06,0.78,0.22,1.04,0.18,0.67,0.5,0,0,n/n,n/n,1
en668,11,15-16,NA,L11,2021-07-18 16:52:16+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7676,-70.8785,13.07,19.13,1,15.46,1.48,30%,>10&<200,0.25,0.2,0.06,0.78,0.22,1.04,0.18,2.03,0.09,1.5,0.11,2.54,0.15,1
en668,11,21-22-23-24,NA,L11,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7672,-70.8783,4.77,23.24,3,25.08,1.07,65%,>0&<10,0.14,0.12,0.02,0.85,0.15,1.04,0.16,1.61,0.08,0.61,0.08,1.72,0.07,1
en668,11,21-22-23-24,NA,L11,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7672,-70.8783,4.77,23.24,3,25.08,1.07,65%,>0&<10sf,0.14,0.12,0.02,0.85,0.15,1.04,0.16,0.78,0.13,0,0,1.46,0.08,1
en668,11,21-22-23-24,NA,L11,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7672,-70.8783,4.77,23.24,3,25.08,1.07,65%,>0&<200,0.14,0.12,0.02,0.85,0.15,1.04,0.16,1.4,0.06,0.46,0.07,1.63,0.1,1
en668,11,21-22-23-24,NA,L11,2021-07-18 16:54:53+00:00,2021-07-18 18:40:00+00:00,2021-07-19 19:35:00+00:00,39.7672,-70.8783,4.77,23.24,3,25.08,1.07,65%,>10&<200,0.14,0.12,0.02,0.85,0.15,1.04,0.16,1.33,0.16,0.29,0.09,1.53,0.12,1
at46,1,16-17-24,NA,L1,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,41.1966,-70.8829,2.04,4.04,1,7.44,2.31,65%,>0&<10,4.18,1.7,2.48,0.41,0.59,1.01,0.21,-0.4,1.07,0,0,n/n,n/n,1
at46,1,16-17-24,NA,L1,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,41.1966,-70.8829,2.04,4.04,1,7.44,2.31,65%,>0&<200,4.18,1.7,2.48,0.41,0.59,1.01,0.21,0.43,0.11,0.4,0.15,n/n,n/n,1
at46,1,16-17-24,NA,L1,2022-02-16 18:36:35+00:00,2022-02-16 19:20:00+00:00,2022-02-17 19:40:00+00:00,41.1966,-70.8829,2.04,4.04,1,7.44,2.31,65%,>10&<200,4.18,1.7,2.48,0.41,0.59,1.01,0.21,0.27,0.15,NaN,NaN,0.5,0.07,1
at46,17,17-18-19,NA,L2,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,41.027,-70.8859,6.9,4.7,1,5.68,2.01,65%,>0&<10,10.14,3.51,6.63,0.35,0.65,1.02,0.26,-0.04,0.6,0,0,n/n,n/n,1
at46,17,17-18-19,NA,L2,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,41.027,-70.8859,6.9,4.7,1,5.68,2.01,65%,>0&<200,10.14,3.51,6.63,0.35,0.65,1.02,0.26,-0.08,0.09,0,0,n/n,n/n,1
at46,17,17-18-19,NA,L2,2022-02-20 01:24:16+00:00,2022-02-20 01:55:00+00:00,2022-02-21 02:30:00+00:00,41.027,-70.8859,6.9,4.7,1,5.68,2.01,65%,>10&<200,10.14,3.51,6.63,0.35,0.65,1.02,0.26,-0.16,0.33,0,0,n/n,n/n,1
at46,16,15-16-17-18,NA,L3,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,40.8606,-70.8823,6.96,5.3,1,5.71,2.03,65%,>0&<10,4.86,0.92,3.94,0.19,0.81,1,0.23,-0.11,0.64,NaN,NaN,n/n,n/n,1
at46,16,15-16-17-18,NA,L3,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,40.8606,-70.8823,6.96,5.3,1,5.71,2.03,65%,>0&<200,4.86,0.92,3.94,0.19,0.81,1,0.23,-0.02,0.09,0,0,n/n,n/n,1
at46,16,15-16-17-18,NA,L3,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,40.8606,-70.8823,6.96,5.3,1,5.71,2.03,65%,>10&<200,4.86,0.92,3.94,0.19,0.81,1,0.23,0.29,0.16,0.31,0.09,n/n,n/n,1
at46,2,22-23,NA,L4,2022-02-17 02:46:32+00:00,2022-02-17 03:20:00+00:00,2022-02-18 03:32:00+00:00,40.6974,-70.8813,2.75,4.76,1,9.61,2.34,65%,>0&<10,2.05,1.23,0.83,0.6,0.4,1.01,0.14,1.6,1.14,3.03,0.7,n/n,n/n,3
at46,2,22-23,NA,L4,2022-02-17 02:46:32+00:00,2022-02-17 03:20:00+00:00,2022-02-18 03:32:00+00:00,40.6974,-70.8813,2.75,4.76,1,9.61,2.34,65%,>0&<200,2.05,1.23,0.83,0.6,0.4,1.01,0.14,0.85,0.16,0.84,0.15,n/n,n/n,3
at46,2,22-23,NA,L4,2022-02-17 02:46:32+00:00,2022-02-17 03:20:00+00:00,2022-02-18 03:32:00+00:00,40.6974,-70.8813,2.75,4.76,1,9.61,2.34,65%,>10&<200,2.05,1.23,0.83,0.6,0.4,1.01,0.14,0.74,0.19,0,0,n/n,n/n,3
at46,6,21-22-23,NA,L6,2022-02-17 13:27:22+00:00,2022-02-17 14:30:00+00:00,2022-02-18 14:45:00+00:00,40.3634,-70.8813,3.01,7.9,1,11.37,0.57,65%,>0&<10,1.89,0.86,1.04,0.45,0.55,1.01,0.2,1.23,0.2,1.47,0.22,n/n,n/n,1
at46,6,21-22-23,NA,L6,2022-02-17 13:27:22+00:00,2022-02-17 14:30:00+00:00,2022-02-18 14:45:00+00:00,40.3634,-70.8813,3.01,7.9,1,11.37,0.57,65%,>0&<200,1.89,0.86,1.04,0.45,0.55,1.01,0.2,0.05,0.08,0,0,n/n,n/n,1
at46,6,21-22-23,NA,L6,2022-02-17 13:27:22+00:00,2022-02-17 14:30:00+00:00,2022-02-18 14:45:00+00:00,40.3634,-70.8813,3.01,7.9,1,11.37,0.57,65%,>10&<200,1.89,0.86,1.04,0.45,0.55,1.01,0.2,0.22,0.14,0,0,n/n,n/n,1
at46,13,16-17,NA,L8,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,40.1339,-70.7826,27.41,9.64,3,8.74,2.49,5%,>0&<10,1.86,0.41,1.45,0.22,0.78,0.98,0.28,-0.59,2.01,0,0,n/n,n/n,1
at46,13,16-17,NA,L8,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,40.1339,-70.7826,27.41,9.64,3,8.74,2.49,5%,>0&<200,1.86,0.41,1.45,0.22,0.78,0.98,0.28,0.56,0.11,0.59,0.14,n/n,n/n,1
at46,13,16-17,NA,L8,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,40.1339,-70.7826,27.41,9.64,3,8.74,2.49,5%,>10&<200,1.86,0.41,1.45,0.22,0.78,0.98,0.28,0.29,0.09,0.24,0.1,n/n,n/n,1
at46,13,22-23,NA,L8,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,40.1334,-70.7831,7.29,9.22,3,8.74,2.49,65%,>0&<10,2.03,0.6,1.43,0.29,0.71,0.98,0.17,-1.23,0.91,0,0,n/n,n/n,1
at46,13,22-23,NA,L8,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,40.1334,-70.7831,7.29,9.22,3,8.74,2.49,65%,>0&<200,2.03,0.6,1.43,0.29,0.71,0.98,0.17,-0.01,0.15,0,0,n/n,n/n,1
at46,13,22-23,NA,L8,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,40.1334,-70.7831,7.29,9.22,3,8.74,2.49,65%,>10&<200,2.03,0.6,1.43,0.29,0.71,0.98,0.17,0.36,0.06,0.18,0.06,n/n,n/n,1
at46,7,11-12,NA,L11,2022-02-17 22:10:38+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7727,-70.8805,45.7,14.35,3,11.49,0.97,1%,>0&<10,1,0.35,0.65,0.35,0.65,1.01,0.17,0.64,0.58,0.78,0.34,n/n,n/n,1
at46,7,11-12,NA,L11,2022-02-17 22:10:38+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7727,-70.8805,45.7,14.35,3,11.49,0.97,1%,>0&<200,1,0.35,0.65,0.35,0.65,1.01,0.17,0.46,0.18,0.35,0.14,n/n,n/n,1
at46,7,11-12,NA,L11,2022-02-17 22:10:38+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7727,-70.8805,45.7,14.35,3,11.49,0.97,1%,>10&<200,1,0.35,0.65,0.35,0.65,1.01,0.17,0.3,0.23,0,0,n/n,n/n,1
at46,7,16-17,NA,L11,2022-02-17 22:15:15+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7726,-70.8803,20.82,14.18,3,11.49,0.97,15%,>0&<10,1.03,0.43,0.6,0.42,0.58,1.01,0.19,-0.24,0.49,0,0,n/n,n/n,1
at46,7,16-17,NA,L11,2022-02-17 22:15:15+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7726,-70.8803,20.82,14.18,3,11.49,0.97,15%,>0&<200,1.03,0.43,0.6,0.42,0.58,1.01,0.19,0.15,0.14,0,0,n/n,n/n,1
at46,7,16-17,NA,L11,2022-02-17 22:15:15+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7726,-70.8803,20.82,14.18,3,11.49,0.97,15%,>10&<200,1.03,0.43,0.6,0.42,0.58,1.01,0.19,0.31,0.1,0,0,n/n,n/n,1
at46,7,22-23,NA,L11,2022-02-17 22:19:22+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7726,-70.8802,3.7,14.17,3,11.49,0.97,65%,>0&<10,1.15,0.52,0.63,0.45,0.55,1.01,0.19,0.1,0.46,0.61,0.24,n/n,n/n,1
at46,7,22-23,NA,L11,2022-02-17 22:19:22+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7726,-70.8802,3.7,14.17,3,11.49,0.97,65%,>0&<200,1.15,0.52,0.63,0.45,0.55,1.01,0.19,0.49,0.16,0.5,0.09,n/n,n/n,1
at46,7,22-23,NA,L11,2022-02-17 22:19:22+00:00,2022-02-17 23:44:00+00:00,2022-02-19 00:00:00+00:00,39.7726,-70.8802,3.7,14.17,3,11.49,0.97,65%,>10&<200,1.15,0.52,0.63,0.45,0.55,1.01,0.19,0.86,0.13,0.62,0.07,n/n,n/n,1
ar66b,1,10-11-12-13,NA,L2,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0307,-70.8825,3.25,7.39,1,10.51,3.32,65%,>0&<10,1.59,0.85,0.73,0.54,0.46,0.95,0.19,-0.33,0.2,0,0,n/n,n/n,1
ar66b,1,10-11-12-13,NA,L2,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0307,-70.8825,3.25,7.39,1,10.51,3.32,65%,>0&<200,1.59,0.85,0.73,0.54,0.46,0.95,0.19,0.15,0.16,0.16,0.05,n/n,n/n,1
ar66b,1,10-11-12-13,NA,L2,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0307,-70.8825,3.25,7.39,1,10.51,3.32,65%,>10&<200,1.59,0.85,0.73,0.54,0.46,0.95,0.19,0.66,0.14,0.45,0.04,n/n,n/n,1
ar66b,3,14-15-16,NA,L4,2022-04-20 19:36:27+00:00,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,40.6967,-70.8823,4.47,7.52,1,12.87,4.66,65%,>0&<10,1.94,1.37,0.57,0.71,0.29,1.01,0.29,-0.73,0.39,0.18,0.16,n/n,n/n,3
ar66b,3,14-15-16,NA,L4,2022-04-20 19:36:27+00:00,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,40.6967,-70.8823,4.47,7.52,1,12.87,4.66,65%,>0&<200,1.94,1.37,0.57,0.71,0.29,1.01,0.29,-0.35,0.06,NaN,NaN,n/n,n/n,3
ar66b,3,14-15-16,NA,L4,2022-04-20 19:36:27+00:00,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,40.6967,-70.8823,4.47,7.52,1,12.87,4.66,65%,>10&<200,1.94,1.37,0.57,0.71,0.29,1.01,0.29,0.13,0.11,0.08,0.06,n/n,n/n,3
ar66b,22,16-17-18,NA,L6,2022-04-25 21:28:08+00:00,2022-04-26 03:35:00+00:00,2022-04-27 03:35:00+00:00,40.3617,-70.876,3.03,8.4,2,11.85,2.16,65%,>0&<10,2.77,2.14,0.63,0.77,0.23,1,0.17,-0.06,0.05,0.21,0.06,n/n,n/n,1
ar66b,22,16-17-18,NA,L6,2022-04-25 21:28:08+00:00,2022-04-26 03:35:00+00:00,2022-04-27 03:35:00+00:00,40.3617,-70.876,3.03,8.4,2,11.85,2.16,65%,>0&<200,2.77,2.14,0.63,0.77,0.23,1,0.17,-0.04,0.04,0.15,0.04,n/n,n/n,1
ar66b,22,16-17-18,NA,L6,2022-04-25 21:28:08+00:00,2022-04-26 03:35:00+00:00,2022-04-27 03:35:00+00:00,40.3617,-70.876,3.03,8.4,2,11.85,2.16,65%,>10&<200,2.77,2.14,0.63,0.77,0.23,1,0.17,0.1,0.12,0,0,n/n,n/n,1
ar66b,19,22-23-24,NA,L7,2022-04-24 14:37:48+00:00,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,40.2265,-70.8832,3.11,8.87,2,10.43,1.75,65%,>0&<10,3.2,2.02,1.18,0.63,0.37,1,0.21,-0.38,0.1,0,0,-0.19,0.05,1
ar66b,19,22-23-24,NA,L7,2022-04-24 14:37:48+00:00,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,40.2265,-70.8832,3.11,8.87,2,10.43,1.75,65%,>0&<200,3.2,2.02,1.18,0.63,0.37,1,0.21,-0.21,0.05,0,0,-0.04,0.04,1
ar66b,19,22-23-24,NA,L7,2022-04-24 14:37:48+00:00,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,40.2265,-70.8832,3.11,8.87,2,10.43,1.75,65%,>10&<200,3.2,2.02,1.18,0.63,0.37,1,0.21,0.04,0.14,0,0,0.25,0.05,1
ar66b,20,20-21-22,NA,L8,2022-04-24 22:26:39+00:00,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,40.134,-70.77,2.91,8.86,2,10.49,1.68,65%,>0&<10,5.62,1.99,3.63,0.35,0.65,1,0.19,-0.62,0.01,0,0,-0.06,0.17,1
ar66b,20,20-21-22,NA,L8,2022-04-24 22:26:39+00:00,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,40.134,-70.77,2.91,8.86,2,10.49,1.68,65%,>0&<200,5.62,1.99,3.63,0.35,0.65,1,0.19,-0.33,0.08,NaN,NaN,0.01,0.02,1
ar66b,20,20-21-22,NA,L8,2022-04-24 22:26:39+00:00,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,40.134,-70.77,2.91,8.86,2,10.49,1.68,65%,>10&<200,5.62,1.99,3.63,0.35,0.65,1,0.19,-0.23,0.06,0,0,0.05,0.07,1
ar66b,15,22-23-24,NA,L9,2022-04-23 15:37:42+00:00,2022-04-23 22:40:00+00:00,2022-04-24 22:40:00+00:00,40.0982,-70.8847,4.25,9.36,2,10.77,0.61,65%,>0&<10,3.8,1.7,2.1,0.45,0.55,1,0.17,-0.22,0,0,0,-0.06,0.14,1
ar66b,15,22-23-24,NA,L9,2022-04-23 15:37:42+00:00,2022-04-23 22:40:00+00:00,2022-04-24 22:40:00+00:00,40.0982,-70.8847,4.25,9.36,2,10.77,0.61,65%,>0&<200,3.8,1.7,2.1,0.45,0.55,1,0.17,-0.14,0.03,0,0,0.21,0.03,1
ar66b,15,22-23-24,NA,L9,2022-04-23 15:37:42+00:00,2022-04-23 22:40:00+00:00,2022-04-24 22:40:00+00:00,40.0982,-70.8847,4.25,9.36,2,10.77,0.61,65%,>10&<200,3.8,1.7,2.1,0.45,0.55,1,0.17,0.04,0.09,0.11,0.04,0.48,0.07,1
ar66b,6,22-23-24,NA,L10,2022-04-21 15:43:27+00:00,2022-04-21 22:00:00+00:00,2022-04-22 22:00:00+00:00,39.9398,-70.8815,4.28,16.48,2,16.61,1.56,65%,>0&<10,1.28,0.67,0.61,0.52,0.48,1,0.23,0.3,0.03,0.6,0.16,0.63,0.2,1
ar66b,6,22-23-24,NA,L10,2022-04-21 15:43:27+00:00,2022-04-21 22:00:00+00:00,2022-04-22 22:00:00+00:00,39.9398,-70.8815,4.28,16.48,2,16.61,1.56,65%,>0&<200,1.28,0.67,0.61,0.52,0.48,1,0.23,0.01,0.07,0,0,0.28,0.08,1
ar66b,6,22-23-24,NA,L10,2022-04-21 15:43:27+00:00,2022-04-21 22:00:00+00:00,2022-04-22 22:00:00+00:00,39.9398,-70.8815,4.28,16.48,2,16.61,1.56,65%,>10&<200,1.28,0.67,0.61,0.52,0.48,1,0.23,0.39,0.05,NaN,NaN,0.51,0.09,1
ar66b,8,21-22-23,NA,L11,2022-04-22 02:29:01+00:00,2022-04-22 08:45:00+00:00,2022-04-23 08:30:00+00:00,39.7733,-70.882,3.85,15.2,1,14.14,3.45,65%,>0&<10,2.67,0.98,1.69,0.37,0.63,0.99,0.18,-0.37,0.63,0,0,n/n,n/n,1
ar66b,8,21-22-23,NA,L11,2022-04-22 02:29:01+00:00,2022-04-22 08:45:00+00:00,2022-04-23 08:30:00+00:00,39.7733,-70.882,3.85,15.2,1,14.14,3.45,65%,>0&<200,2.67,0.98,1.69,0.37,0.63,0.99,0.18,0.47,0.07,NaN,NaN,n/n,n/n,1
ar66b,8,21-22-23,NA,L11,2022-04-22 02:29:01+00:00,2022-04-22 08:45:00+00:00,2022-04-23 08:30:00+00:00,39.7733,-70.882,3.85,15.2,1,14.14,3.45,65%,>10&<200,2.67,0.98,1.69,0.37,0.63,0.99,0.18,0.76,0.07,NaN,NaN,n/n,n/n,1
en687,1,19-20-21-22,NA,L1,2022-07-29 19:27:30+00:00,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,41.1896,-70.8743,3.14,22.44,3,24.52,1.89,65%,>0&<200,0.9,0.79,0.12,0.87,0.13,1.01,0.2,0.4,0.22,0,0,1.1,0.17,1
en687,2,19-20-21-22,NA,L2,2022-07-30 03:09:43+00:00,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,41.0262,-70.8826,2.81,21.85,3,25.4,1.8,65%,>0&<200,0.46,0.39,0.07,0.84,0.16,1.02,0.27,0.91,0.06,0,0,1.13,0.08,1
en687,5,22-23-24,NA,L4,2022-07-30 11:58:14+00:00,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,40.7034,-70.8854,2.91,23.07,3,26.33,1.17,65%,>0&<200,0.66,0.56,0.09,0.86,0.14,1.01,0.15,0.15,0.05,0,0,0.61,0.06,1
en687,5,10-11-12,NA,L4,2022-07-30 11:53:21+00:00,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,40.7024,-70.885,30.3,17.06,2,17.9,0.79,1%,>0&<10,1.8,1.37,0.43,0.76,0.24,1.01,0.26,-0.11,0.16,0,0,n/n,n/n,1
en687,5,10-11-12,NA,L4,2022-07-30 11:53:21+00:00,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,40.7024,-70.885,30.3,17.06,2,17.9,0.79,1%,>0&<200,1.8,1.37,0.43,0.76,0.24,1.01,0.26,-0.19,0.11,0,0,-0,0.13,1
en687,5,10-11-12,NA,L4,2022-07-30 11:53:21+00:00,2022-07-30 13:05:00+00:00,2022-07-31 13:25:00+00:00,40.7024,-70.885,30.3,17.06,2,17.9,0.79,1%,>10&<200,1.8,1.37,0.43,0.76,0.24,1.01,0.26,-0.13,0.28,NaN,NaN,0.18,0.06,1
en687,18,13-14,NA,L6,2022-08-02 03:41:47+00:00,2022-08-02 04:55:00+00:00,2022-08-03 04:40:00+00:00,40.3591,-70.8784,18.91,21.32,2,17.81,0.51,15%,>0&<200,0.73,0.69,0.04,0.95,0.05,0.99,0.15,0.53,0.05,0.14,0.03,0.74,0.05,1
en687,18,23-24,NA,L6,2022-08-02 03:47:49+00:00,2022-08-02 04:55:00+00:00,2022-08-03 04:40:00+00:00,40.3586,-70.8769,3.25,24.77,3,26.04,2.23,65%,>0&<200,0.21,0.19,0.02,0.91,0.09,0.99,0.23,0.41,0.1,0.16,0.05,1.44,0.07,1
en687,16,22-23,NA,L8,2022-08-01 13:47:42+00:00,2022-08-01 14:40:00+00:00,2022-08-02 14:55:00+00:00,40.1452,-70.7738,2.83,25.35,3,25.85,1.42,65%,>0&<200,0.29,0.24,0.05,0.82,0.18,1.01,0.23,0.64,0.03,0.39,0.03,1.14,0.04,1
en687,16,16-17,NA,L8,2022-08-01 13:44:56+00:00,2022-08-01 14:40:00+00:00,2022-08-02 14:55:00+00:00,40.1449,-70.7736,19.29,20.84,2,17.7,0.41,15%,>0&<200,0.75,0.64,0.1,0.86,0.14,1.01,0.21,0.36,0.04,0.2,0.05,0.49,0.05,1
en687,7,10-11,NA,L10,2022-07-31 06:55:22+00:00,2022-07-31 08:05:00+00:00,2022-08-01 08:10:00+00:00,39.9184,-70.8973,31.29,14.31,1,14.84,0.7,10%,>0&<200,2.62,2.39,0.23,0.91,0.09,1,0.17,0.01,0.06,0,0,0.16,0.14,1
en687,7,21-22,NA,L10,2022-07-31 07:01:51+00:00,2022-07-31 08:05:00+00:00,2022-08-01 08:10:00+00:00,39.9177,-70.8998,3.15,25.24,3,27.36,2.04,65%,>0&<200,0.14,0.11,0.03,0.8,0.2,1,0.4,0.82,0.11,NaN,NaN,1.24,0.05,1
en687,10,22-23,NA,L11,2022-07-31 16:31:21+00:00,2022-07-31 17:30:00+00:00,2022-08-01 17:40:00+00:00,39.7832,-70.8929,2.75,26.96,3,26.47,1.98,65%,>0&<200,0.13,0.1,0.03,0.81,0.19,1.01,0.25,0.89,0.17,0,0,1.14,0.1,1
en687,10,16-17,NA,L11,2022-07-31 16:27:05+00:00,2022-07-31 17:30:00+00:00,2022-08-01 17:40:00+00:00,39.7823,-70.8922,22.94,20.69,2,17.6,0.39,15%,>0&<200,0.56,0.48,0.08,0.86,0.14,1.01,0.18,0.62,0.24,0.2,0.08,n/n,n/n,1
